151,Necalli,3.294,04-2017,SF5,Street Fighter V
152,Alex,3.274,04-2017,SF3,Street Fighter III
153,Juri,2.898,04-2017,SSF4,Street Fighter IV
154,Rashid,2.712,04-2017,SF5,Street Fighter V
155,R. Mika,2.671,04-2017,SFA3,Street Fighter Alpha
156,Chun-Li,2.433,04-2017,SF2,Street Fighter II
157,Birdie,2.377,04-2017,SF1,Street Fighter
158,Claw,2.212,04-2017,SF2,Street Fighter II
159,Dhalsim,1.551,04-2017,SF2,Street Fighter II
160,F.A.N.G.,1.125,04-2017,SF5,Street Fighter V
161,Ryu,11.927,05-2017,SF1,Street Fighter
162,Akuma,8.781,05-2017,SF2T,Street Fighter II
163,Ken,8.313,05-2017,SF1,Street Fighter
164,Karin,4.895,05-2017,SFA3,Street Fighter Alpha
165,Zangief,4.893,05-2017,SF2,Street Fighter II
166,Guile,4.839,05-2017,SF2,Street Fighter II
167,Cammy,4.809,05-2017,SF2NC,Street Fighter II
168,Urien,4.071,05-2017,SF3GI,Street Fighter III
169,Laura,4.049,05-2017,SF5,Street Fighter V
170,Dictator,3.914,05-2017,SF2,Street Fighter II
171,Nash,3.902,05-2017,SFA,Street Fighter Alpha
172,Boxer,3.759,05-2017,SF2,Street Fighter II
173,Ibuki,3.416,05-2017,SF3,Street Fighter III
174,Kolin,3.331,05-2017,SF3,Street Fighter III
175,Necalli,3.302,05-2017,SF5,Street Fighter V
176,Alex,3.043,05-2017,SF3,Street Fighter III
177,Juri,2.885,05-2017,SSF4,Street Fighter IV
178,Rashid,2.717,05-2017,SF5,Street Fighter V
179,R. Mika,2.689,05-2017,SFA3,Street Fighter Alpha
180,Chun-Li,2.573,05-2017,SF2,Street Fighter II
181,Birdie,2.401,05-2017,SF1,Street Fighter
182,Claw,2.23,05-2017,SF2,Street Fighter II
183,Dhalsim,1.521,05-2017,SF2,Street Fighter II
184,F.A.N.G.,1.154,05-2017,SF5,Street Fighter V
185,Ed,0.585,05-2017,SF4,Street Fighter IV
186,Ryu,12.801,06-2017,SF1,Street Fighter
187,Ed,8.331,06-2017,SF4,Street Fighter IV
188,Akuma,8.015,06-2017,SF2T,Street Fighter II
189,Ken,7.859,06-2017,SF1,Street Fighter
190,Zangief,4.747,06-2017,SF2,Street Fighter II
191,Guile,4.713,06-2017,SF2,Street Fighter II
192,Cammy,4.352,06-2017,SF2NC,Street Fighter II
193,Karin,4.311,06-2017,SFA3,Street Fighter Alpha
194,Nash,3.951,06-2017,SFA,Street Fighter Alpha
195,Dictator,3.518,06-2017,SF2,Street Fighter II
196,Laura,3.45,06-2017,SF5,Street Fighter V
197,Urien,3.446,06-2017,SF3GI,Street Fighter III
198,Boxer,3.124,06-2017,SF2,Street Fighter II
199,Alex,2.887,06-2017,SF3,Street Fighter III
200,Necalli,2.847,06-2017,SF5,Street Fighter V
201,Ibuki,2.705,06-2017,SF3,Street Fighter III
202,Rashid,2.514,06-2017,SF5,Street Fighter V
203,Claw,2.432,06-2017,SF2,Street Fighter II
204,R. Mika,2.376,06-2017,SFA3,Street Fighter Alpha
205,Kolin,2.374,06-2017,SF3,Street Fighter III
206,Juri,2.327,06-2017,SSF4,Street Fighter IV
207,Chun-Li,2.323,06-2017,SF2,Street Fighter II
208,Birdie,2.117,06-2017,SF1,Street Fighter
209,Dhalsim,1.277,06-2017,SF2,Street Fighter II
210,F.A.N.G.,1.204,06-2017,SF5,Street Fighter V
211,Ryu,11.81,07-2017,SF1,Street Fighter
212,Akuma,9.353,07-2017,SF2T,Street Fighter II
213,Ken,7.582,07-2017,SF1,Street Fighter
214,Guile,5.029,07-2017,SF2,Street Fighter II
215,Zangief,4.448,07-2017,SF2,Street Fighter II
216,Cammy,4.434,07-2017,SF2NC,Street Fighter II
217,Ed,4.419,07-2017,SF4,Street Fighter IV
218,Karin,4.367,07-2017,SFA3,Street Fighter Alpha
219,Nash,3.945,07-2017,SFA,Street Fighter Alpha
220,Dictator,3.544,07-2017,SF2,Street Fighter II
221,Laura,3.527,07-2017,SF5,Street Fighter V
222,Urien,3.473,07-2017,SF3GI,Street Fighter III
223,Abigail,3.417,07-2017,FF,Final Fight
224,Boxer,3.026,07-2017,SF2,Street Fighter II
225,Alex,3.02,07-2017,SF3,Street Fighter III
226,Ibuki,2.948,07-2017,SF3,Street Fighter III
227,Necalli,2.728,07-2017,SF5,Street Fighter V
228,Rashid,2.669,07-2017,SF5,Street Fighter V
229,Juri,2.544,07-2017,SSF4,Street Fighter IV
230,R. Mika,2.504,07-2017,SFA3,Street Fighter Alpha
231,Kolin,2.413,07-2017,SF3,Street Fighter III
232,Chun-Li,2.2,07-2017,SF2,Street Fighter II
233,Claw,2.102,07-2017,SF2,Street Fighter II
234,Birdie,2.086,07-2017,SF1,Street Fighter
235,Dhalsim,1.288,07-2017,SF2,Street Fighter II
236,F.A.N.G.,1.123,07-2017,SF5,Street Fighter V
237,Ryu,11.218,08-2017,SF1,Street Fighter
238,Akuma,9.731,08-2017,SF2T,Street Fighter II
239,Ken,7.436,08-2017,SF1,Street Fighter
240,Abigail,5.973,08-2017,FF,Final Fight
241,Guile,5.127,08-2017,SF2,Street Fighter II
242,Cammy,4.346,08-2017,SF2NC,Street Fighter II
243,Karin,4.295,08-2017,SFA3,Street Fighter Alpha
244,Zangief,3.929,08-2017,SF2,Street Fighter II
245,Laura,3.674,08-2017,SF5,Street Fighter V
246,Urien,3.531,08-2017,SF3GI,Street Fighter III
247,Ed,3.429,08-2017,SF4,Street Fighter IV
248,Dictator,3.429,08-2017,SF2,Street Fighter II
249,Nash,3.288,08-2017,SFA,Street Fighter Alpha
250,Ibuki,2.882,08-2017,SF3,Street Fighter III
251,Boxer,2.868,08-2017,SF2,Street Fighter II
252,Alex,2.851,08-2017,SF3,Street Fighter III
253,Necalli,2.814,08-2017,SF5,Street Fighter V
254,Juri,2.633,08-2017,SSF4,Street Fighter IV
255,Rashid,2.591,08-2017,SF5,Street Fighter V
256,Kolin,2.298,08-2017,SF3,Street Fighter III
257,R. Mika,2.289,08-2017,SFA3,Street Fighter Alpha
258,Chun-Li,2.114,08-2017,SF2,Street Fighter II
259,Claw,1.993,08-2017,SF2,Street Fighter II
