,Character,Usage Rate,Date
299,ザンギエフ,3.849,10-2017
300,ベガ,3.776,10-2017
301,ララ,3.25,10-2017
302,アビゲイル,2.939,10-2017
303,エド,2.81,10-2017
304,ナッシュ,2.81,10-2017
305,バイソン,2.738,10-2017
306,ネカリ,2.668,10-2017
307,アレックス,2.656,10-2017
308,いぶき,2.518,10-2017
309,ラシード,2.436,10-2017
310,ジュリ,2.387,10-2017
311,春麗,2.282,10-2017
312,レインボー・ミカ,2.18,10-2017
313,コーリン,2.142,10-2017
314,バーディー,2.117,10-2017
315,バルログ,1.975,10-2017
316,メナト,1.876,10-2017
317,ダルシム,1.127,10-2017
318,ファン,1.042,10-2017
319,リュウ,10.586,11-2017
320,豪鬼,8.937,11-2017
321,是空,7.18,11-2017
322,ケン,7.069,11-2017
323,ガイル,5.065,11-2017
324,かりん,4.278,11-2017
325,キャミィ,4.253,11-2017
326,ザンギエフ,4.042,11-2017
327,ベガ,3.769,11-2017
328,ユリアン,3.748,11-2017
329,ララ,3.287,11-2017
330,アビゲイル,2.857,11-2017
331,ナッシュ,2.752,11-2017
332,エド,2.744,11-2017
333,バイソン,2.74,11-2017
334,アレックス,2.647,11-2017
335,ネカリ,2.586,11-2017
336,いぶき,2.436,11-2017
337,ジュリ,2.307,11-2017
338,コーリン,2.293,11-2017
339,春麗,2.265,11-2017
340,ラシード,2.228,11-2017
341,レインボー・ミカ,2.137,11-2017
342,バーディー,2.115,11-2017
343,バルログ,1.882,11-2017
344,メナト,1.552,11-2017
345,ダルシム,1.176,11-2017
346,ファン,1.069,11-2017
347,リュウ,11.099,12-2017
348,豪鬼,9.336,12-2017
349,ケン,7.313,12-2017
350,ガイル,4.813,12-2017
351,キャミィ,4.509,12-2017
352,かりん,4.385,12-2017
353,ザンギエフ,3.963,12-2017
354,ユリアン,3.92,12-2017
355,ベガ,3.724,12-2017
356,是空,3.627,12-2017
357,ララ,3.396,12-2017
358,エド,3.069,12-2017
359,アレックス,2.942,12-2017
360,ナッシュ,2.894,12-2017
361,アビゲイル,2.786,12-2017
362,春麗,2.76,12-2017
363,バイソン,2.698,12-2017
364,バーディー,2.59,12-2017
365,ネカリ,2.568,12-2017
366,ジュリ,2.512,12-2017
367,コーリン,2.394,12-2017
368,ラシード,2.32,12-2017
369,いぶき,2.291,12-2017
370,レインボー・ミカ,2.239,12-2017
371,バルログ,1.915,12-2017
372,メナト,1.702,12-2017
373,ダルシム,1.205,12-2017
374,ファン,1.03,12-2017
375,リュウ,11.519,01-2018
376,豪鬼,7.963,01-2018
377,ケン,6.928,01-2018
378,さくら,6.337,01-2018
379,ガイル,4.506,01-2018
380,キャミィ,4.014,01-2018
381,かりん,3.706,01-2018
382,ベガ,3.641,01-2018
383,ザンギエフ,3.465,01-2018
384,ユリアン,3.393,01-2018
385,エド,3.32,01-2018
386,アレックス,3.271,01-2018
387,アビゲイル,3.035,01-2018
